MAPI_VOICE_MESSAGE_SENDER_NAME 0x6803
MAPI_FAX_NUMBER_OF_PAGES 0x6804
MAPI_VOICE_MESSAGE_ATTACHMENT_ORDER 0x6805
MAPI_CALL_ID 0x6806
MAPI_ATTACHMENT_LINK_ID 0x7FFA
MAPI_EXCEPTION_START_TIME 0x7FFB
MAPI_EXCEPTION_END_TIME 0x7FFC
MAPI_ATTACHMENT_FLAGS 0x7FFD
MAPI_ATTACHMENT_HIDDEN 0x7FFE
MAPI_ATTACHMENT_CONTACT_PHOTO 0x7FFF
MAPI_FILE_UNDER 0x8005
MAPI_FILE_UNDER_ID 0x8006
MAPI_CONTACT_ITEM_DATA 0x8007
MAPI_REFERRED_BY 0x800E
MAPI_DEPARTMENT 0x8010
MAPI_HAS_PICTURE 0x8015
MAPI_HOME_ADDRESS 0x801A
MAPI_WORK_ADDRESS 0x801B
MAPI_OTHER_ADDRESS 0x801C
MAPI_POSTAL_ADDRESS_ID 0x8022
MAPI_CONTACT_CHARACTER_SET 0x8023
MAPI_AUTO_LOG 0x8025
MAPI_FILE_UNDER_LIST 0x8026
MAPI_EMAIL_LIST 0x8027
MAPI_ADDRESS_BOOK_PROVIDER_EMAIL_LIST 0x8028
MAPI_ADDRESS_BOOK_PROVIDER_ARRAY_TYPE 0x8029
MAPI_HTML 0x802B
MAPI_YOMI_FIRST_NAME 0x802C
MAPI_YOMI_LAST_NAME 0x802D
MAPI_YOMI_COMPANY_NAME 0x802E
MAPI_BUSINESS_CARD_DISPLAY_DEFINITION 0x8040
MAPI_BUSINESS_CARD_CARD_PICTURE 0x8041
MAPI_WORK_ADDRESS_STREET 0x8045
MAPI_WORK_ADDRESS_CITY 0x8046
MAPI_WORK_ADDRESS_STATE 0x8047
MAPI_WORK_ADDRESS_POSTAL_CODE 0x8048
MAPI_WORK_ADDRESS_COUNTRY 0x8049
MAPI_WORK_ADDRESS_POST_OFFICE_BOX 0x804A
MAPI_DISTRIBUTION_LIST_CHECKSUM 0x804C
MAPI_BIRTHDAY_EVENT_ENTRY_ID 0x804D
MAPI_ANNIVERSARY_EVENT_ENTRY_ID 0x804E
MAPI_CONTACT_USER_FIELD1 0x804F
MAPI_CONTACT_USER_FIELD2 0x8050
MAPI_CONTACT_USER_FIELD3 0x8051
MAPI_CONTACT_USER_FIELD4 0x8052
